// possible values for the attributes 
// <agent_id:{int}> | 
// <age:{int}> | 
// <gender:{male, female, other}> | 
// <family:{single_man, single_woman, nuclear, single_parent_mother, single_parent_father, extended}> |
// <nationality: {String}> | 
// <religion: {String}> | 
// <ethinicity: {String}> |
// <age_pref:{don't mind, (1 or multiple of 18-25, 26-33, 34-43, 44-50, 51-65, 65+)}> |
// <gender_pref:{don't mind, male, female, other}> |
// <family_pref:{don't mind, single_man, single_woman, nuclear, single_parent_mother, single_parent_father, extended}> |
// <nation_pref:{don't mind, mixed, same}> |
// <religion_pref:{don't mind, mixed, same}> |
// <ethnic_pref:{don't mind, mixed, same}> |
// <location_pref:{don't mind, (String)}> |
// <access_pref:{dont'mind, yes, no}> |
// <rental_pref:{dont'mind, (range from-to: dd/mm/yyyy, dd/mm/yyyy)} | 
// <shareWith_pref:{don't mind, (range from-to: int, int}>


//example 1
// id|  age|  gender|               family| nation|   relig|   ethni|             age_pref|  gender_pref|                                          family_pref|  nation_pref|  relig_pref| ethni_pref|      locat_pref| acces_pref|          rentper_pref| shrwth_pref 
    1|   20|  female| single_parent_mother|   nat1|    rel1|    eth1|                18-25|       female|                   single_woman, single_parent_mother|   don't mind|  don't mind|      mixed|      don't mind| don't mind|    1/1/2021, 1/7/2021| 2, 3
    2|   40|    male|           single_man|   nat3|    rel2|    eth4|           don't mind|        mixed|                                           don't mind|        mixed|  don't mind|       same|      L1, L2, L3| don't mind|    1/5/2021, 1/5/2022| dont mind 
    3|   34|    male| single_parent_father|   nat2|    rel1|    eth3|         26-33, 34-43|    dont mind|  single_parent_mother, single_parent_father, nuclear|   don't mind|        same|  dont mind|      L3, L4, L5|        yes|    1/1/2021, 1/7/2022| 2, 4
    4|   19|   other|             extended|   nat1|    rel3|    eth2|                18-25|    dont mind|                                            dont mind|   don't mind|        same|      mixed|      don't mind| don't mind|             dont mind| dont mind
    5|   67|  female| single_parent_mother|   nat1|    rel1|    eth1|            dont mind|       female|          single_woman, single_parent_mother, nuclear|         same|        same|  dont mind|      don't mind|        yes|             dont mind| 1, 2
    6|   43|    male|           single_man|   nat4|    rel4|    eth4|         34-43, 44-50|    dont mind|                                            dont mind|   don't mind|  don't mind|      mixed|      don't mind| don't mind|    1/3/2021, 1/7/2022| 1, 3
    7|   33|  female|         single_woman|   nat2|    rel3|    eth3|  18-25, 26-33, 34-43|       female|                   single_woman, single_parent_mother|         same|  don't mind|      mixed|  L1, L2, L3, L4|         no|    1/1/2021, 1/7/2022| dont mind
    8|   27|  female|              nuclear|   nat3|    rel2|    eth2|            dont mind|    dont mind|          single_woman, single_parent_mother, nuclear|        mixed|       mixed|       same|      L3, L6, L9|        yes|             dont mind| 1,  4
    9|   55|    male|              nuclear|   nat1|    rel4|    eth3|        51-65, 65-120|         male|                                            dont mind|         same|        same|       same|              L4|        yes|   1/5/2021, 1/12/2021| 1,2
   10|   23|   other|         single_woman|   nat2|    rel5|    eth4|            dont mind|       female|                   single_woman, single_parent_mother|   don't mind|  don't mind|  dont mind|      don't mind|         no|   1/1/2021, 1/12/2021| dont mind
   11|   18|  female|         single_woman|   nat2|    rel5|    eth4|                18-25|       female|                   single_woman, single_parent_mother|         same|        same|       same|          L7, L8|         no|    1/1/2021, 1/4/2021| 3
